2023-11-02 08:29:54,689 | INFO | MainProcess | MainThread | Projects folder: ./sample_projects/*
2023-11-02 08:29:55,284 | INFO | MainProcess | MainThread | Home Dir: /Users/yale/Repositories/livenodes/smart-studio
2023-11-02 08:29:55,284 | INFO | MainProcess | MainThread | CWD: /Users/yale/Repositories/livenodes/smart-studio
2023-11-02 08:29:59,882 | INFO | MainProcess | MainThread | Configuring: ./sample_projects/calculator/./pipelines/func_vis.json
2023-11-02 08:29:59,882 | INFO | MainProcess | MainThread | CWD: /Users/yale/Repositories/livenodes/smart-studio/sample_projects/calculator
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes>  <Port_List_Str: Channel Names>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_Data: Data>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes>  <Port_Dict: HMM Meta>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes>  <Port_Dict: Hypo States>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_Matrix_Number: Matrix>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes>  <Port_List_Str: Text>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes>  <Port_List_Str: Annotation>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <--> <Port_Any: Data 1>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <--> <Port_Any: Data 2>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> -> <Port_Int: Toggle>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <--> <Port_Any: Data>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_Data: Stream>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_Data: Stream_segs>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_Matrix_Number: Sim>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_Matrix_Number: SSM>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_np_compatible: Trigger 1>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_np_compatible: Trigger 2>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_np_compatible: Trigger>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes>  <Port_ListUnique_Str: Channel Names>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> -> <Port_List_Int: File>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes>  <Port_Dict: Meta>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes>  <Port_Number: Percent>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <--> <Port_Any: Any>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> -> <Port_Int: Trigger>
2023-11-02 08:29:59,884 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> -> <Port_Int: Time to Event>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_np_compatible: Data NP>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_np_compatible: Data 1>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <- <Port_np_compatible: Data 2>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <--> <Port_Any: Input>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> <--> <Port_Any: Sync>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_Matrix_Any: classes> -> <Port_stringable: Text>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_Data: Data>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_Dict: HMM Meta>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_Dict: Hypo States>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_Matrix_Number: Matrix>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> <--> <Port_List_Str: Text>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> <--> <Port_List_Str: Annotation>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> <--> <Port_Any: Data 1>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> <--> <Port_Any: Data 2>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> -> <Port_Int: Toggle>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> <--> <Port_Any: Data>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_Data: Stream>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_Data: Stream_segs>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_Matrix_Number: Sim>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_Matrix_Number: SSM>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_np_compatible: Trigger 1>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_np_compatible: Trigger 2>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names>  <Port_np_compatible: Trigger>
2023-11-02 08:29:59,885 | INFO | MainProcess | MainThread | Allowed directions: <Port_List_Str: Channel Names> <--> <Port_ListUnique_Str: Channel Names>
